Título,Preço,Área,Preço por m²,Detalhes,Descrição 1,Descrição 2,Descrição 3
"SQNW 306 Bloco A
                                    NOROESTE, BRASILIA",,330,Preço ou área indisponível,"330 m²

4 quartos

1 planta",O horizonte é o seu mais novo privilégio,Descrição não encontrada,Apartamento 330 m²
"Condomínio San Diego, JARDIM BOTANICO, BRASILIA",1550000,520,"2.980,77","520 m²


6 Quartos


3 Suítes


2 Vagas",SAN DIEGO ACEITA FINANCIAMENTO,"Soma imóveis: servir é o primeiro ato de amor.

 CASA DE 6 QUARTOS NO CONDOMÍNIO SAN DIEGO – JARDIM BOTÂNICO
 ESPECIFICA... 10/12/24",Venda Casa 520 m²
"SQSW 500, SUDOESTE, BRASILIA",3250000,172,"18.895,35","172 m²


4 Quartos


4 Suítes


3 Vagas","Apartamento à venda, 172 m² por R$ 3.250.000,00 - Sudoeste - Brasília/DF","Itamaraty Parque - Sudoeste

Localizado em uma região privilegiada, este imóvel é ideal para quem busca qualidade de vid... 10/12/24",Venda Apartamento 172 m²
"SMDB Conjunto 13, LAGO SUL, BRASILIA",7000000,435,"16.091,95","435 m²


4 Quartos


2 Suítes


2 Vagas",SMDB Conjunto 13 - Lago Sul,"VILLA150459 - Última atualização: 09/12/24 23:31
SMDB Conjunto 13 - Lago Sul

BORDALO PRIME VENDE casa térrea de alto pa... 10/12/24",Venda Casa 435 m²
"SQNW 304 Bloco E
                                    NOROESTE, BRASILIA",2851032,170,"16.770,78","170 a 186 m²

4 quartos

3 plantas",Morar bem ganhou um novo sentido,Descrição não encontrada,Apartamento 170 a 186 m²
"SQS 306, ASA SUL, BRASILIA",2400000,148,"16.216,22","148 m²


3 Quartos


1 Suíte",Apartamento - Reformado - SQS 306 - Asa Sul,"Apartamento reformadíssimo - SQS 306 

Permita-se morar neste imóvel regado de personalidade e tranquilidade. É perfeito... 10/12/24",Venda Apartamento 148 m²
"SHIS QL 18, LAGO SUL, BRASILIA",6200000,733,"8.458,39","733 m²


6 Quartos


5 Suítes


4 Vagas",CASA MODERNA NA QL 18 CASA COM 5 SUITES E LAZER MARAVILHOSO,"CASA EXLUSIVA MODERNA NA QL 18 CASA COM 5 SUITES E LAZER MARAVILHOSO

Localização Premium: QL 18 do Lago Sul - A melhor ... 10/12/24",Venda Casa 733 m²
"SQNW 110, NOROESTE, BRASILIA",2400000,153,"15.686,27","153 m²


3 Quartos


2 Suítes


2 Vagas","REFORMADO + ALTO PADRÃO + VAZADO! RES V&C 110 EXPERIENCE, SQNW 110, NOROESTE","REFORMADO + ALTO PADRÃO + VAZADO! RES V&C 110 EXPERIENCE, SQNW 110, NOROESTE 

More com qualidade de vida, segurança e e... 10/12/24",Venda Apartamento 153 m²
"SQNW 303
                                    NOROESTE, BRASILIA",1760000,125,"14.080,00","125 a 199 m²

3 quartos

2 plantas",Vida longa a você e sua família,Descrição não encontrada,Apartamento 125 a 199 m²
"Condomínio Belvedere Green, JARDIM BOTANICO, BRASILIA",1390000,355,"3.915,49","355 m²


4 Quartos


4 Suítes


2 Vagas",Casa em condomínio Regularizado: Escriturado e Registrado.,"Bem-vindo à Casa Encanto do Amanhecer, um verdadeiro refúgio de tranquilidade e conforto no coração de um condomínio reg... 10/12/24",Venda Casa Condominio 355 m²
"SHIN QI 3, LAGO NORTE, BRASILIA",12500000,1400,"8.928,57","1400 m²


9 Quartos


8 Suítes


10 Vagas","MANSÃO EM ALTO PADRÃO COM ELEVADOR E LAZER EXCLUSIVOS! QI 03, LAGO NORTE","MANSÃO EM ALTO PADRÃO COM ELEVADOR E LAZER EXCLUSIVOS! QI 03, LAGO NORTE

Descubra o resultado da fusão entre design con... 10/12/24",Venda Casa 1400 m²
"Condomínio Le Jardin, JARDIM BOTANICO, BRASILIA",1210000,250,"4.840,00","250 m²


3 Quartos


3 Suítes",CASA COM 3 QUARTOS CONDOMÍNIO LE JARDIN - JARDIM BOTÂNICO,"Soma imóveis: Servir é o primeiro ato de amor.

CASA COM 3 QUARTOS CONDOMÍNIO LE JARDIN - JARDIM BOTÂNICO ESPECIFICAÇÕES... 10/12/24",Venda Casa Condominio 250 m²
"SQNW 107 Bloco H
                                    NOROESTE, BRASILIA",,213,Preço ou área indisponível,"213 m²

4 quartos

1 planta",A evolução do alto padrão,Descrição não encontrada,Apartamento 213 m²
"Condomínio Santa Bárbara, JARDIM BOTANICO, BRASILIA",890000,280,"3.178,57","280 m²


3 Quartos


3 Suítes


2 Vagas",,"Bem-vindo à Casa Villa Azul no Condomínio Santa Bárbara

A Casa Villa Azul é o lugar perfeito para quem busca tranquilid... 10/12/24",Venda Casa Condominio 280 m²
"SMPW Quadra 5, PARK WAY, BRASILIA",5200000,540,"9.629,63","540 m²


4 Quartos


4 Suítes


10 Vagas","PARK WAY, SMPW QUADRA 5, COM 540M², 4 SUÍTES, FRENTE A ÁGUAS CLARAS.","VILLA114444 - Última atualização: 09/12/24 23:30
Viva em um verdadeiro paraíso! Com a belíssima residência localizada em... 10/12/24",Venda Casa Condominio 540 m²
"Condomínio Villages Alvorada, JARDIM BOTANICO, BRASILIA",2200000,465,"4.731,18","465 m²


4 Quartos


3 Suítes


6 Vagas","QL 32  - Casa à venda no condomínio á Beira Lago, 4 quartos, Lago Sul, Brasília, DF","Incrível oportunidade localizada no condomínio Villages Alvorada (Lago Sul), para você que está em busca de uma residênc... 10/12/24",Venda Casa 465 m²
"SQNW 309 Bloco C
                                    NOROESTE, BRASILIA",,172,Preço ou área indisponível,"172 a 402 m²

4 quartos

4 plantas",Uma vida mais iluminada.,Descrição não encontrada,Apartamento 172 a 402 m²
"SMPW Quadra 20, PARK WAY, BRASILIA",2850000,610,"4.672,13","610 m²


4 Quartos


4 Suítes


6 Vagas",AC FINANCIAMENTO ÁREA VERDE DE 8.000m2,"LUCAS BORDALO VENDE LOTE EM SMPW QUADRA 20 - 8.000m2 DE ÁREA VERDE

VENDA COM EXCLUSIVIDADE - LUBO IMÓVEIS

Casa térrea ... 10/12/24",Venda Casa Condominio 610 m²
"Condomínio Santa Felicidade, JARDIM BOTANICO, BRASILIA",1590000,227,"7.004,41","227 m²


3 Quartos


3 Suítes


1 Vaga",JARDIM TORORÓ Casa Nova em fase de acabamento,"VENDO CASA EM FASE DE ACABAMENTO NO CONDOMÍNIO LE JARDIN TORORÓ DF
Vendo casa em fase de acabamento no bairro Tororó, co... 10/12/24",Venda Casa 227 m²
"SMPW Quadra 9, PARK WAY, BRASILIA",1650000,430,"3.837,21","430 m²


4 Quartos


2 Suítes


2 Vagas",,"LUCAS BORDALO VENDE CASA PARK WAY QD 09

Casa Térrea Espetacular na Quadra 09 do Park Way!

Viva com conforto e exclusiv... 10/12/24",Venda Casa Condominio 430 m²
"SQSW 500 Bloco R
                                    SUDOESTE, BRASILIA",,275,Preço ou área indisponível,"275 m²

3 quartos

1 planta",Preciosidade em cada detalhe!,Descrição não encontrada,Apartamento 275 m²
"SMDB Conjunto 12 B, LAGO SUL, BRASILIA",4480000,650,"6.892,31","650 m²


4 Quartos


4 Suítes


3 Vagas","SMDB Conjunto 12B, Condomínio Quinta dos Dez - Lago Sul","VILLA149863 - Última atualização: 09/12/24 23:31
SMDB Conjunto 12B, Condomínio Quinta dos Dez - Lago Sul

Descubra o con... 10/12/24",Venda Casa 650 m²
"SMPW Quadra 14, PARK WAY, BRASILIA",3950000,732,"5.396,17","732 m²


5 Quartos


5 Suítes


3 Vagas",- MELHOR QD DO PARK WAY,"LUCAS BORDALO VENDE COM EXCLUSIVIDADE - SMPW QD 14

Luxuosa Casa de 732m² no Park Way – Oportunidade Imperdível!

Se voc... 10/12/24",Venda Casa Condominio 732 m²
"SQNW 109, NOROESTE, BRASILIA",1560000,100,"15.600,00","100 m²


3 Quartos


1 Suíte


1 Vaga",Apartamento de alto padrão no Noroeste -SQNW 109,"Extraordinário apartamento de alto padrão na SQNW 109 oferece uma fusão perfeita entre design sofisticado, conforto e um... 10/12/24",Venda Apartamento 100 m²
"SGCV
                                    PARK SUL, BRASILIA",950000,60,"15.833,33","60 a 61 m²

2 quartos

2 plantas",CONQUISTE SEU ESPAÇO,Descrição não encontrada,Apartamento 60 a 61 m²
"TAQUARI, LAGO NORTE, BRASILIA",3499000,480,"7.289,58","480 m²


4 Quartos


4 Suítes


2 Vagas",(61) 3595-1212 CASA 4 QUARTOS 7 BANHEIROS ÓTIMA ÁREA DE LAZER 61 3595-1212,"A GM Imóveis vende casa de alto padrão no Taquari, com ótima localização no Lago Norte! 
Imóvel com localização diferenc... 10/12/24",Venda Casa Condominio 480 m²
"SHIN QL 14, LAGO NORTE, BRASILIA",9800000,662,"14.803,63","662 m²


6 Quartos


4 Suítes


3 Vagas",Casa nova e moderna em lote de esquina.,"VILLA150339 - Última atualização: 09/12/24 23:31
SHIN QL 14 - LAGO NORTE

Casa nova e moderna em lote de esquina na QL 1... 10/12/24",Venda Casa 662 m²
"Condomínio Ouro Vermelho II, JARDIM BOTANICO, BRASILIA",1480000,312,"4.743,59","312 m²


3 Quartos


3 Suítes


2 Vagas",CONDOMÍNIO OURO VERMELHO 2 CASA COM HABITE-SE,"Soma imóveis: Servir é o primeiro ato de amor.

 CASA DE 3 QUARTOS NO CONDOMÍNIO OURO VERMELHO 2 – JARDIM BOTÂNICO
 ESPE... 10/12/24",Venda Casa 312 m²
"CRNW 510 Bloco B Lote 5
                                    NOROESTE, BRASILIA",1763862,70,"25.198,03","70 a 92 m²


3 plantas",Primeiro studio alto padrão do Noroeste,Descrição não encontrada,Apartamento 70 a 92 m²
"SQNW 106, NOROESTE, BRASILIA",10700000,485,"22.061,86","485 m²


4 Quartos


4 Suítes


5 Vagas",SQNW 106 - Noroeste,"VILLA150667 - Última atualização: 09/12/24 23:31
SQNW 106 - Noroeste

A melhor cobertura de Brasília, pronta para você!
... 10/12/24",Venda Apartamento 485 m²
"SQNW 307, NOROESTE, BRASILIA",2050000,172,"11.918,60","172 m²


3 Quartos


1 Suíte


3 Vagas",Cobertura 3 quartos 1 suíte no Noroeste | Marcenaria de Altíssima Qualidade,"Esse imóvel está localizado na SQNW 307 do Noroeste.

O edifício foi entregue em 2016, e o apartamento possui 172,32 m² ... 10/12/24",Venda Apartamento 172 m²
"Condomínio Le Jardin, JARDIM BOTANICO, BRASILIA",1350000,270,"5.000,00","270 m²


3 Quartos


3 Suítes


2 Vagas",CASA REFORMADA,"Soma imóveis: servir é o primeiro ato de amor.

 CASA DE 03 QUARTOS NO CONDOMÍNIO LÊ JARDIN 1 –  TORORÓ
 ESPECIFICAÇÕES ... 10/12/24",Venda Casa 270 m²
"SQNW 304 Bloco H
                                    NOROESTE, BRASILIA",2682693,145,"18.501,33","145 a 291 m²

3 a 4 quartos

6 plantas",Encante-se com o seu cotidiano,Descrição não encontrada,Apartamento 145 a 291 m²
"Condomínio Prive I Quadra 1 Conjunto D, LAGO NORTE, BRASILIA",1900000,345,"5.507,25","345 m²


3 Quartos


2 Suítes


3 Vagas",CONDOMÍNIO PRIVÊ,"DALEPRANE INTELIGÊNCIA IMOBILIÁRIA VENDE EXCELENTE CASA. 

CONDOMÍNIO PRIVÊ, LAGO NORTE. 

Não perca essa oportunidade, ... 10/12/24",Venda Casa 345 m²
"SQN 109, ASA NORTE, BRASILIA",1730000,110,"15.727,27","110 m²


3 Quartos


1 Suíte


2 Vagas","APARTAMENTO REFORMADO COM 3 QUARTOS (1 SUÍTE), 2 VAGAS, À VENDA NA SQN 109!","APARTAMENTO REFORMADO COM 3 QUARTOS (1 SUÍTE), 2 VAGAS, À VENDA NA SQN 109!

Observação: As fotos 4, 5, 10, 16 e 21 são ... 10/12/24",Venda Apartamento 110 m²
"SQS 107, ASA SUL, BRASILIA",2850000,245,"11.632,65","245 m²


4 Quartos


1 Suíte


1 Vaga","EXCELENTE E ACONCHEGANTE APARTAMENTO LOCALIZADO NA SQS 107, 4 QUARTOS.","EXCELENTE E ACONCHEGANTE APARTAMENTO LOCALIZADO NA SQS 107, 4 QUARTOS.
Uma excelente oportunidade para quem quer morar c... 10/12/24",Venda Apartamento 245 m²
